Surface,Volume,Soma_Surface,N_stems,N_bifs,N_branch,Width,Depth,Diameter,PathDistance,Branch_Order,Contraction,Fragmentation,Partition_asymmetry,Pk_classic,Bif_ampl_local,Fractal_Dim,Bif_ampl_remote,Length,Height,EucDistance,Class
97810.2,50807.1,685.303,3,367,737,487.383,10.46,1.83435,693.437,27,0.894178,5383,0.535072,1.91425,89.9417,1.04417,86.4457,16693.9,551.52,379.094,Neuron
53721.8,22138.8,802.225,4,258,520,449.8,6.83,1.50476,467.064,19,0.908637,3479,0.593361,1.73081,88.8213,1.04259,89.6358,11051.8,551.97,338.057,Neuron
66005.9,25971.1,534.157,3,315,633,496.32,8.93,1.49797,575.995,19,0.88705,6419,0.590862,1.75042,89.5849,1.04437,90.675,14083.7,635.199,433.133,Neuron
124619,62830.4,662.878,2,649,1300,526.871,9.65,1.76089,1032.84,53,0.909148,6983,0.597862,1.83032,93.4679,1.04547,90.6304,22005,592.11,399.09,Neuron
70910.3,29046.1,592.63,3,381,765,618.774,7.02,1.49191,559.099,25,0.905494,4790,0.632179,1.80351,94.8677,1.04598,89.0701,14696.5,643.188,444.385,Neuron
58422.4,21503.3,821.113,2,290,582,481.556,10.1,1.45387,558.788,23,0.885442,5482,0.6065,1.76499,89.9322,1.04324,87.8205,12999.2,555.805,377.376,Neuron
61432.1,22291.9,536.993,4,404,812,498.106,5.55,1.42674,748.45,32,0.924203,4864,0.704755,1.76841,94.3382,1.03783,95.4568,13898.8,596.184,409.985,Neuron
76719.5,29924.6,630.514,3,410,823,500.52,7.64,1.50285,551.063,21,0.909036,6778,0.568249,1.79509,92.3222,1.03839,90.8079,16370,569.351,392.465,Neuron
86806.6,37810,968.267,2,404,810,613.068,6.72,1.58959,650.377,26,0.902434,9088,0.604419,2.0345,93.3334,1.0396,92.1515,17693.9,696.069,498.408,Neuron
39098.4,15903.8,435.9,4,156,316,465.419,6.02,1.59047,419.107,15,0.907238,3682,0.611992,1.86737,85.1935,1.03521,87.4063,8047.16,469.119,319.468,Neuron
40012,14828.2,541.458,3,179,361,530.843,5.73,1.42324,549.893,18,0.900106,2701,0.610217,1.82601,85.0895,1.04375,84.8381,8833.95,558.371,351.133,Neuron
38718.3,13805.7,390.131,5,191,387,477.978,4.9,1.40913,455.266,19,0.927133,2568,0.574937,1.78254,92.8596,1.0263,92.2559,8816.16,477.37,361.131,Neuron
94823.3,42010.9,357.944,3,507,1017,509.86,26.76,1.6237,521.292,21,0.907804,6144,0.558803,2.04451,93.2601,1.0393,90.437,18744,629.65,393.761,Neuron
87076.8,36012.6,760.958,1,490,981,554.19,6.95,1.51016,553.698,24,0.912591,5654,0.569161,1.80301,96.754,1.04062,93.8518,17937.8,700.79,433.057,Neuron
45542.7,15999.3,367.892,3,216,435,528.922,5.41,1.39043,536.709,17,0.936401,3989,0.628389,1.75725,88.7234,1.01967,88.5745,10402.4,562.22,392.802,Neuron
74251,28258.9,783.025,3,422,847,597.004,6.19,1.48473,533.188,20,0.903489,6768,0.576209,1.76311,92.07,1.04235,90.9687,16172.6,608.267,435.625,Neuron
74127.2,29415.7,795.422,4,334,672,552.211,5.76,1.52982,566.513,17,0.894565,7972,0.579942,1.80092,95.7127,1.03968,94.4423,15597.2,624.671,442.994,Neuron
37361.9,15023.6,450.153,2,166,334,448.13,6.16,1.56278,539.232,21,0.910507,3116,0.617235,1.76227,93.223,1.03693,83.7406,7785.26,492.459,357.137,Neuron
35000.1,12701.4,298.46,3,122,247,494.948,4.27,1.41288,485.032,20,0.910079,2085,0.585556,1.76613,89.901,1.03869,85.3084,7806.56,583.8,408.549,Neuron
101890,37848,770.629,2,604,1210,511.199,7.62,1.42791,1021.96,39,0.920578,7105,0.605528,1.8111,93.6398,1.03599,91.0344,22612.5,633.48,427.013,Neuron
82306,34837,983.799,3,397,797,538.149,7.47,1.53749,609.922,24,0.906716,4985,0.600741,1.80984,95.6722,1.0418,96.3133,16501.7,712.479,421.901,Neuron
63281.3,22547.3,788.212,2,353,708,450.32,5.22,1.38539,520.95,25,0.903503,4720,0.631028,1.77837,92.7417,1.04147,93.3419,14365.3,653.45,428.075,Neuron
67155.8,26577.5,333.889,2,341,684,574.521,6.57,1.51006,587.946,20,0.909426,6360,0.594779,1.77012,92.9595,1.03501,90.0534,14355.8,616.622,394.391,Neuron
85097,36043,810.253,3,504,1011,505.589,10.59,1.60445,540.304,25,0.906414,7921,0.613334,1.76482,96.89,1.04452,93.886,17186.2,588.961,394.154,Neuron
27587.3,10964.8,412.1,3,105,213,437.45,6.78,1.49371,423.375,16,0.920606,1879,0.583379,1.76129,90.173,1.03246,89.392,5874,565.26,353.534,Neuron
33500.8,13412,253.175,3,115,233,531.96,4.72,1.50319,449.375,14,0.915969,1851,0.588966,1.80717,81.5058,1.03907,88.6027,7030.22,593.89,379.215,Neuron
76865.1,30519.9,851.548,4,339,682,503.128,5.78,1.54313,1188.67,36,0.894973,8039,0.642,1.7852,93.0515,1.04386,90.0009,16237.5,605.522,393.824,Neuron
84727.4,31345.3,631.42,2,514,1030,540.845,6.07,1.40472,728.124,27,0.924626,6079,0.620427,1.92454,95.8227,1.0348,93.1121,19078.1,676.958,414.443,Neuron
82717.1,35734.7,741.039,2,416,834,516.249,8.46,1.54728,621.697,22,0.90542,5376,0.570455,1.8387,94.6891,1.04403,92.446,16469.6,689.91,447.345,Neuron
95729.9,33687.3,1401.97,4,664,1332,512.911,5.38,1.3633,626.882,30,0.919864,6529,0.641171,1.80156,94.8909,1.04538,91.6385,22055.3,735.121,492.52,Neuron
70160,25627.4,670.155,4,373,750,541.632,7.13,1.43652,605.439,22,0.912327,5540,0.598471,1.77278,89.0491,1.03562,87.7,15724.9,615.122,396.912,Neuron
83396.3,36839.2,1115.95,3,376,755,500.412,10.53,1.62158,831.096,28,0.893632,8665,0.624407,1.80149,95.1352,1.04132,90.165,16502.3,656.989,453.202,Neuron
