GABEL,GH,NABEL,NH,e1,e2
5.920827138,53.02,46.08139696,570.201,,
5.58885212,48.25,42.91778766,512.899,,
7.423062751,29.52,50.48939813,557.79,,
5.653698753,35.86,39.28188804,422.39,,
3.434676893,47.27,46.75321769,531.589,,
4.384910927,28.87,82.02949289,359.11,,
4.6687213,55.97,59.9565303,202.68,,
5.380167129,36.35,71.82822341,663.69,,
7.138887027,41.43,76.66087354,357.11,,
4.559997738,34.65,131.1984115,349.35,,
3.642005886,33.61,35.52614684,215.231,,
5.753008017,35.3,39.24786197,255.77,,
7.247703475,67.32,92.93030465,312.58,,
4.892305055,40.33,71.4564527,199.21,,
4.6886896,53.84,74.82526844,395.47,,
5.957869029,51.14,125.0568671,487.91,,
3.958370577,41.34,103.2606958,483.46,,
5.820140872,44.26,81.00366216,422.55,,
13.20943922,85.51,90.48926266,265.42,,
3.46232991,39,119.3706922,330.07,,
6.374447577,32.17,109.5831495,533.43,,
4.654063616,69.57,90.70911818,418.569,,
4.538743054,48.7,56.03419996,728.979,,
4.472238484,47.2,49.54602018,582.69,,
5.230933875,34.33,48.85439522,768.29,,
5.367206447,29.85,59.61730756,1019.84,,
2.601100735,57.33,51.39098587,180.55,,
4.443228577,34.52,75.45458192,228.961,,
4.04307848,26.18,112.2364158,289.089,,
3.543647914,48.76,147.8998903,755.03,,
3.654252946,22.32,127.5088092,531.65,,
5.221540912,27.52,46.39878562,209.27,,
3.556793549,38.72,68.87446971,382.17,,
4.388524174,41.7,100.3408974,317.35,,
6.312973764,47.91,140.1197899,802.75,,
4.49108948,45.62,56.11151832,299.17,,
4.478046213,39.82,105.8349963,490.44,,
5.659460263,43.01,67.05932362,470.76,,
6.166652294,42.47,88.0012314,304.063,,
6.357860752,42.16,22.52390805,117.903,,
9.416401653,54.5,20.74096736,87.1182,,
5.372968792,41,20.46208895,103.643,,
8.665484461,82.5955,83.06075114,182.362,,
15.03657704,89.765,103.0901328,539.599,,
16.00026033,80.3725,110.4535146,590.34,,
15.56504005,64.61975,44.17182739,220.923,,
21.26860541,74.10325,43.52529129,310.36,,
19.30893114,65.86775,88.78112413,441.89,,
18.61390415,57.707,71.18330389,408.73,,
11.25669085,41.82425,92.01560818,198.671,,
11.74996581,52.17875,98.62723163,889.15,,
26.58428397,23.9525,104.9860219,317.08,,
4.590543289,115.52125,105.8195341,417.109,,
19.01352644,39.2405,126.4196431,230.831,,
13.31119757,82.1795,148.3861102,376.93,,
21.99576819,68.31825,85.70599153,338.62,,
27.8196698,93.106,90.13496347,617.6,,
20.69012007,63.895,89.15879739,296.162,,
23.97580427,97.78275,75.48468479,361.141,,
19.7502786,74.13575,60.69871562,314.16,,
16.11767318,42.48725,52.50567423,236.22,,
15.15030119,34.62875,28.04744686,172.06,,
3.871682584,48.95,53.64067747,297.207,,
3.770534699,38.9,201.4401424,875.35,,
