Surface,Volume,Soma_Surface,N_stems,N_bifs,N_branch,Width,Depth,Diameter,PathDistance,Branch_Order,Contraction,Fragmentation,Partition_asymmetry,Pk_classic,Bif_ampl_local,Fractal_Dim,Bif_ampl_remote,Length,Height,EucDistance,Class
1778.07,402.89,628.813,6,92,190,34.36,16,0.678718,76.8706,14,0.810097,975,0.628164,2.4578,99.0149,1.14508,96.6058,806.323,48.73,32.7166,Glia
1613.11,331.477,619.37,6,81,168,38.43,17.5,0.593184,82.862,13,0.790163,980,0.61748,2.78309,100.052,1.16261,102.133,830.99,49.96,34.2949,Glia
1523.26,332.625,589.604,5,71,147,33.3,15,0.625485,102.906,14,0.810763,886,0.695987,2.42242,101.08,1.15105,103.264,758.997,53.4,29.9418,Glia
1786.52,368.427,918.082,9,87,183,40.56,16.5,0.595356,87.984,14,0.818246,1099,0.63178,2.38172,103.16,1.14085,103.921,901.14,49.71,35.3998,Glia
2019.04,485.897,986.56,6,90,186,37.52,16.5,0.632613,122.701,17,0.802639,1129,0.638722,2.14537,101.859,1.16486,98.9484,960.833,48.16,32.7933,Glia
667.741,102.85,482.194,5,34,73,40.62,16,0.478725,75.9316,10,0.836739,557,0.549855,2.57084,103.903,1.11749,93.1444,429.575,54.79,38.0716,Glia
921.981,184.755,354.059,9,55,119,26.27,16.5,0.550032,64.6696,8,0.839864,633,0.6106,2.48177,108.602,1.11983,108.127,515.805,51.68,32.9768,Glia
1265.98,259.869,713.048,7,61,129,29.52,19,0.53769,87.3636,18,0.810707,922,0.63569,2.49096,98.857,1.13612,102.629,698.779,57.99,35.4636,Glia
766.169,130.709,395.388,4,54,112,34.43,18,0.519142,58.8924,13,0.824088,571,0.577511,2.04698,106.473,1.15027,105.384,449.387,37.84,26.3511,Glia
739.061,119.034,948.078,13,42,97,18.44,20,0.495915,73.1461,7,0.842945,519,0.530159,2.37024,104.641,1.13599,100.638,458.444,44.5,33.9188,Glia
1355.17,262.551,706.812,9,77,163,45.09,17.62,0.52526,108.588,11,0.826625,905,0.586447,2.32108,104.87,1.14687,100.808,773.178,44.5,34.0681,Glia
2865.47,841.536,663.689,8,115,238,38.87,16,0.826929,73.1861,17,0.805457,1203,0.681211,2.29938,95.3038,1.16178,93.4705,1049.28,50.01,34.5754,Glia
1306.52,325.351,899.557,12,54,120,24.28,17.82,0.758043,58.5624,12,0.856553,559,0.734507,2.0108,102.612,1.13709,96.2026,519.386,49.08,29.1062,Glia
2206.92,555.583,759.585,9,122,253,32.1,17,0.679548,92.7398,16,0.836646,1150,0.613965,2.45019,109.353,1.14802,107.42,1007.04,43.73,31.8137,Glia
2593.81,730.073,670.248,6,126,258,38.41,16,0.811512,83.8246,16,0.825068,1157,0.603016,2.38417,102.389,1.15068,100.724,970.348,50.97,33.8325,Glia
2261.97,761.196,893.925,7,108,223,34.3,15.5,0.813489,100.288,26,0.850381,897,0.533927,2.45773,101.04,1.13362,101.611,810.337,58.98,36.1951,Glia
1754.92,269.058,566.382,6,87,180,42.29,18.22,0.452198,162.255,17,0.761951,1406,0.646556,2.34735,106.414,1.18767,106.217,1203.66,50.28,35.3825,Glia
1319.97,257.734,591.349,7,81,169,31.3,17.5,0.527489,65.2911,10,0.8283,876,0.638133,2.28993,96.7656,1.1356,102.536,738.61,46.7,33.6267,Glia
1044.16,192.371,750.847,7,61,129,24.97,16.5,0.558676,69.0352,14,0.798875,745,0.50464,2.43298,98.0225,1.15564,104.724,585.395,53.03,44.6108,Glia
1289.16,301.718,816.664,7,59,125,30.77,11.5,0.700368,60.0395,10,0.805885,653,0.625034,2.02133,111.376,1.16559,103.168,576.49,40.34,28.4385,Glia
1585.36,430.178,584.85,7,65,137,28.28,16.5,0.802374,85.5788,16,0.827487,636,0.610892,2.14038,109.677,1.13291,100.626,602.145,54.61,33.9531,Glia
2833.4,688.333,611.2,10,135,280,27.27,17.5,0.656806,160.922,27,0.818204,1390,0.622014,2.62674,104.635,1.14044,107.373,1323.74,69.14,48.4378,Glia
1715.47,400.085,617.205,7,95,197,47.51,22,0.67058,86.7862,16,0.828657,931,0.648172,2.5251,99.2787,1.15172,102.826,796.185,48.14,34.1252,Glia
1679.99,409.245,578.754,5,82,169,29.12,21.5,0.646169,85.5605,15,0.80897,945,0.702324,2.58332,102.491,1.15548,103.136,778.201,52.94,43.1383,Glia
1134.95,327.039,421.567,6,58,122,23.07,16.5,0.762586,50.5905,10,0.856173,495,0.633407,2.43564,110.089,1.16062,106.537,440.995,44.27,33.7857,Glia
1225.74,253.659,444.917,7,67,141,24.04,19,0.560937,78.3293,13,0.848836,875,0.564274,2.10927,103.474,1.1279,97.3475,658.197,54.94,39.5834,Glia
1214.77,266.769,834.865,10,56,122,32.94,16.5,0.646275,63.6843,9,0.848418,647,0.562424,2.66625,108.37,1.1318,103.449,578.454,50.62,35.9265,Glia
1743.36,388.593,613.126,8,83,174,43.09,20.5,0.650336,80.8635,12,0.827955,1048,0.619522,2.26388,103.423,1.13825,99.9412,817.898,60.72,40.2122,Glia
991.667,160.189,895.905,10,62,134,32.84,14.99,0.489406,66.3118,9,0.826416,791,0.502287,2.29579,109.986,1.13008,102.721,613.675,39.85,29.8636,Glia
2051.5,498.006,926.48,7,92,191,38.9,20.99,0.656407,75.4072,14,0.826031,1143,0.651068,2.3049,100.803,1.14401,93.7217,936.811,51.44,33.8874,Glia
2273.36,642.235,753.791,7,115,237,44.17,21,0.746276,104.798,23,0.851562,1058,0.623574,2.33898,99.5454,1.13697,100.26,897.835,58.15,40.5153,Glia
3002.77,1125.42,563.04,5,120,245,40.24,15,1.02549,77.3322,18,0.832423,1046,0.628974,2.44188,101.368,1.15711,100.798,878.856,51.42,41.7783,Glia
1478.25,394.185,666.352,6,76,158,36.42,19,0.703248,61.4187,13,0.840753,745,0.587243,2.06521,101.487,1.15116,101.884,627.195,37.23,26.1948,Glia
1686.15,442.684,531.79,8,70,148,32.65,18.18,0.730204,78.2295,15,0.842398,832,0.590799,2.60492,103.329,1.12537,114.801,702.025,53.19,32.6076,Glia
1378.89,333.735,821.616,6,75,156,30.31,20,0.761555,92.9676,18,0.855133,746,0.573024,2.14963,98.3023,1.12987,100.489,559.723,49.64,35.4967,Glia
1156.46,204.81,683.968,9,74,157,28.81,17,0.559884,54.4197,10,0.850096,776,0.595128,2.13998,106.028,1.12886,102.877,622.582,46.37,30.6786,Glia
754.514,214.987,967.495,9,25,59,14.66,19.5,0.887707,41.4243,7,0.87336,266,0.560571,1.70269,98.7615,1.10055,97.812,253.438,42.55,24.8524,Glia
2087.3,300.672,865.69,10,127,264,44.35,22.5,0.475847,93.0172,18,0.804953,1623,0.575997,2.30837,104.807,1.15695,101.931,1354.66,57.35,34.8777,Glia
1407.49,251.259,549.585,7,88,183,31.69,18.5,0.515325,112.95,21,0.843071,924,0.590819,1.99541,106.52,1.15568,98.7983,813.895,43.8,30.7006,Glia
1009.87,210.072,770.204,11,44,99,32.74,19,0.522663,84.0054,8,0.824797,614,0.571916,2.99914,105.469,1.14154,110.101,567.825,56.55,35.4345,Glia
1162.51,173.117,758.721,8,88,184,28.6,23.5,0.409804,95.8671,17,0.817896,1073,0.569349,2.48016,96.5391,1.13458,102.622,853.181,47.12,33.8144,Glia
2424.9,446.356,758.684,7,139,285,39.02,23.5,0.560553,106.992,18,0.81354,1590,0.567553,2.48514,106.024,1.14812,101.366,1318.36,50.77,35.2948,Glia
1307.17,182.776,671.891,7,111,229,36.32,21.5,0.467282,87.2612,20,0.841691,1034,0.660739,2.15979,105.604,1.13319,100.927,870.786,41.56,36.2678,Glia
950.604,151.717,480.206,6,62,130,22.38,14.5,0.482997,63.687,14,0.790508,744,0.556583,2.63784,97.5091,1.15969,89.3346,607.072,49.72,33.6987,Glia
1942.19,565.526,624.022,4,98,200,28.44,15.5,0.787888,72.1619,18,0.837103,928,0.641977,2.44668,104.102,1.14231,107.243,740.462,51.22,31.1864,Glia
897.208,221.057,569.339,8,32,72,30.28,19,0.714042,66.1683,7,0.813336,433,0.537847,2.31485,96.7022,1.14123,93.4547,379.92,38.8,26.6763,Glia
1079.28,221.861,883.673,9,63,135,25.65,18,0.499587,78.7307,9,0.835551,726,0.566013,2.31108,102.272,1.1362,105.828,636.514,47.95,32.8684,Glia
1331.17,261.057,618.24,10,72,154,31.9,18.5,0.554517,88.1872,11,0.835794,859,0.577995,2.2778,101.009,1.14272,105.531,715.27,48.44,36.7416,Glia
845.391,196.585,542.735,8,43,94,25.02,14.5,0.578954,57.9127,10,0.820533,497,0.586916,2.71009,101.365,1.15366,91.4559,443.619,33,24.6213,Glia
1000.55,183.778,696.855,10,67,144,24.83,17,0.508683,81.4815,16,0.838038,706,0.602542,2.5105,107.759,1.1433,111.818,611.695,46.78,28.6396,Glia
787.002,178.798,725.015,6,49,104,25.31,18.5,0.54101,77.4798,13,0.827191,500,0.523615,2.13556,106.105,1.15777,104.412,418.84,25.9,25.9949,Glia
1389.04,280.832,545.025,10,88,186,33.25,18,0.553184,82.5993,14,0.840841,939,0.582122,2.65201,92.9494,1.13034,97.2572,766.301,53.86,36.6909,Glia
1799,738.095,444.685,6,62,130,25.83,9,1.11686,89.0245,16,0.82605,558,0.587997,2.94145,107.868,1.14265,102.821,474.612,41.84,32.1416,Glia
1199.98,278.819,460.078,5,72,149,36.77,9,0.736976,84.3101,19,0.834522,635,0.714284,2.4214,103.032,1.1619,100.115,496.359,49.46,30.7882,Glia
1198.49,326.356,473.556,5,62,129,30.7,8.84,0.723271,83.7778,17,0.811888,639,0.616269,2.83226,104.711,1.14936,97.3357,499.182,45.72,34.1482,Glia
750.711,189.924,353.922,4,36,76,27.51,8,0.711701,54.8022,10,0.78958,394,0.534975,2.187,94.391,1.16986,78.7824,319.127,37.25,31.8961,Glia
884.666,154.481,730.788,7,49,105,31.45,17.5,0.520453,74.2183,10,0.807267,574,0.532329,2.17543,89.1203,1.14595,97.3213,532.038,36.22,24.6573,Glia
1639.53,365.608,658.053,9,108,225,29.81,15.5,0.591508,76.1935,15,0.844714,1028,0.664971,2.28025,98.5902,1.1369,104.669,847.525,49.04,30.3451,Glia
851.623,110.376,521.027,9,70,149,30.62,17,0.413301,76.1156,15,0.847605,823,0.658535,2.13991,101.267,1.12323,102.378,638.049,43.15,39.3862,Glia
832.508,162.319,553.1,5,61,127,34.38,16.5,0.493486,70.8767,14,0.857058,588,0.615121,2.52387,98.4898,1.12409,100.273,493.959,56.91,41.2417,Glia
703.535,138.088,743.318,8,47,102,30.53,16.5,0.508604,53.9431,10,0.854191,488,0.566869,2.44403,101.077,1.12052,93.0465,416.184,36.3,30.24,Glia
1275.32,225.956,709.858,10,81,172,29.72,18.5,0.505096,80.8671,13,0.833775,888,0.547321,2.58616,104.801,1.13017,103.437,785.62,38.8,24.8903,Glia
2021.93,387.512,666.753,7,135,277,38.81,18.5,0.53395,123.658,24,0.822858,1448,0.666563,2.77506,102.523,1.14448,103.368,1158.11,59.93,50.2625,Glia
1212.23,196.838,603.301,6,83,172,28.53,19,0.495092,76.169,12,0.829572,927,0.656316,2.6219,106.427,1.14338,105.916,758.908,49.64,38.0418,Glia
1461.37,307.081,480.946,7,89,185,31.73,18.5,0.53042,57.9078,10,0.843103,1048,0.605854,2.38423,100.586,1.13247,97.8276,783.071,53.68,34.9157,Glia
