PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,Class
-1.197585488,-1.323039027,-0.997000524,-0.081991023,-0.64790445,0.534713924,-0.017663332,0.056839132,0.452374871,-0.236531963,-0.491917562,Glia
-1.156363612,-0.931391068,-0.731647865,0.748184776,2.244900458,0.680906415,0.338858071,1.696363481,-0.291388579,0.108657815,0.465914008,Glia
-1.754864157,0.402131901,-0.748850765,1.118841977,0.987553179,-0.362800444,-0.095390913,-1.0511768,0.187509719,0.166915699,0.577423519,Glia
-1.355595688,0.47660356,0.013747417,0.566875097,-0.328648274,-0.052995879,-0.015054126,-0.412922083,-0.007492009,-0.283021675,0.033028775,Glia
3.71610201,-1.115045388,-1.106620487,-1.949430453,0.560269576,-0.116342942,-0.163809148,-0.693908631,-1.531422628,-2.25826824,-0.569623574,Neuron
0.270178508,1.243867396,0.47653726,-0.949871202,0.181334158,-0.001559459,-0.139377825,0.54259685,-0.179235343,0.251848767,0.103156012,Neuron
-0.713226102,0.747778627,-0.756798009,3.313344643,-1.079386552,-0.637230121,-0.082246231,-1.165523775,-1.108773756,0.242412331,-0.863025925,Neuron
1.301429874,1.214205942,0.474653778,0.105598105,-1.123145879,0.047320962,-0.274116011,-0.41082343,-0.231483502,0.082885244,0.20893793,Neuron
-0.214175638,-2.075242329,-0.182879853,-2.498031844,-2.086855889,-0.967636469,0.012722968,0.408661503,0.194222055,-0.431191808,-0.335293009,Glia
3.425905465,1.991511944,0.814255275,-0.557999211,-0.971904655,0.156911147,-0.219459002,0.237268243,-0.355360491,0.320717072,0.565183712,Neuron
-1.303337662,-0.082037952,-0.179930454,0.533686697,0.091944425,0.227556608,0.099733326,0.548058202,-0.442059569,-0.594515606,0.617628324,Glia
-1.512749841,0.751195704,-1.127125665,3.552947003,-0.233811139,-0.680662741,-0.867639898,-2.439559747,-1.124967876,0.148466801,1.430669984,Neuron
-0.209887903,0.471258905,0.243469405,-0.689152987,1.038844615,0.068385819,0.271066126,0.494555077,0.330962126,0.316131749,0.048098048,Neuron
0.668103244,0.703287871,0.079902002,-1.698299345,-0.010659805,-0.040571502,0.196545167,0.070578081,0.168021053,0.040001974,0.07966148,Neuron
-1.106836092,-0.839144487,-0.173162856,0.540488262,0.042359405,0.637279745,0.175374624,-0.027556342,0.267288407,-0.211384872,-0.167321787,Glia
-1.25131211,0.527431397,0.030994731,0.651975068,0.654877814,-0.238182881,0.028033378,-0.408571522,-0.005583422,-0.123931733,0.342738852,Glia
